RATE,TYPE,LOCATIONID,TS
300,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:06:19.525"
2640,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:06:19.525"
2340,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:06:33.139"
300,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:06:33.139"
2640,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:06:33.139"
2340,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:06:46.306"
300,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:06:46.307"
2640,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:06:46.307"
2340,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:06:59.832"
300,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:06:59.832"
2640,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:06:59.832"
3000,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:07:13.556"
480,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:07:13.556"
3480,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:07:13.556"
3000,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:07:26.906"
480,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:07:26.906"
3480,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:07:26.906"
3000,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:07:40.333"
480,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:07:40.333"
3480,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:07:40.333"
3000,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:07:53.773"
480,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:07:53.773"
3480,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:07:53.774"
3060,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:08:07.184"
240,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:08:07.184"
3300,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:08:07.184"
3060,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:08:20.332"
240,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:08:20.332"
3300,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:08:20.332"
3060,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:08:33.085"
240,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:08:33.085"
3300,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:08:33.085"
3060,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:08:46.210"
240,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:08:46.210"
3300,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:08:46.211"
3060,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:09:00.385"
240,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:09:00.385"
3300,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:09:00.385"
1800,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:09:14.892"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:09:14.892"
2160,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:09:14.892"
1800,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:09:28.342"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:09:28.342"
